title,url,mime,width,height
File:19191125 A New Physics Based on Einstein - The New York Times.png,https://upload.wikimedia.org/wikipedia/commons/1/1a/19191125_A_New_Physics_Based_on_Einstein_-_The_New_York_Times.png,image/png,761,864
File:1919 eclipse positive.jpg,https://upload.wikimedia.org/wikipedia/commons/3/37/1919_eclipse_positive.jpg,image/jpeg,490,533
File:Albert Einstein's exam of maturity grades (color2).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Albert_Einstein%27s_exam_of_maturity_grades_%28color2%29.jpg,image/jpeg,1479,2419
File:Albert Einstein (Nobel).png,https://upload.wikimedia.org/wikipedia/commons/5/50/Albert_Einstein_%28Nobel%29.png,image/png,280,396
File:Albert Einstein 1921 (re-cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/Albert_Einstein_1921_%28re-cropped%29.jpg,image/jpeg,1784,2552
File:Albert Einstein 1921 by F Schmutzer (3x4 close cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Albert_Einstein_1921_by_F_Schmutzer_%283x4_close_cropped%29.jpg,image/jpeg,800,1059
File:Albert Einstein 1947.jpg,https://upload.wikimedia.org/wikipedia/commons/1/14/Albert_Einstein_1947.jpg,image/jpeg,4517,5522
File:Albert Einstein and Charlie Chaplin City Lights premiere 1931.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Albert_Einstein_and_Charlie_Chaplin_City_Lights_premiere_1931.jpg,image/jpeg,1281,1288
"File:Albert Einstein and Elsa Einstein arriving by ship, San Diego, 1930 (cropped).jpg",https://upload.wikimedia.org/wikipedia/commons/5/54/Albert_Einstein_and_Elsa_Einstein_arriving_by_ship%2C_San_Diego%2C_1930_%28cropped%29.jpg,image/jpeg,5422,4005
File:Albert Einstein and his wife Mileva Maric.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Albert_Einstein_and_his_wife_Mileva_Maric.jpg,image/jpeg,3324,2300
File:Albert Einstein as a child.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Albert_Einstein_as_a_child.jpg,image/jpeg,810,694
File:Albert Einstein at the age of three (1882).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fb/Albert_Einstein_at_the_age_of_three_%281882%29.jpg,image/jpeg,414,600
File:Albert Einstein photo 1920.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Albert_Einstein_photo_1920.jpg,image/jpeg,3744,5480
File:Albert Einstein signature 1934.svg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Albert_Einstein_signature_1934.svg,image/svg+xml,585,88
File:Albert Einstein writing on a blackboard in Pasadena (1931).jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Albert_Einstein_writing_on_a_blackboard_in_Pasadena_%281931%29.jpg,image/jpeg,2294,3000
File:Berliner Physiker u Chemiker 1920.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Berliner_Physiker_u_Chemiker_1920.jpg,image/jpeg,1516,1080
File:Churchill and Einstein in 1933.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Churchill_and_Einstein_in_1933.jpg,image/jpeg,310,243
File:Citizen-Einstein.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8a/Citizen-Einstein.jpg,image/jpeg,2220,1683
"File:ETH-BIB-Einstein, Albert und Kollegen am Physik-Labor ETH-Portrait-Portr 10750.tif",https://upload.wikimedia.org/wikipedia/commons/7/77/ETH-BIB-Einstein%2C_Albert_und_Kollegen_am_Physik-Labor_ETH-Portrait-Portr_10750.tif,image/tiff,4074,2754
File:Earth-moon.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg,image/jpeg,3000,2400
File:Einstein's landing card (5706142737).jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/Einstein%27s_landing_card_%285706142737%29.jpg,image/jpeg,1391,909
File:Einstein-Oslofjord (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/Einstein-Oslofjord_%28cropped%29.jpg,image/jpeg,906,698
File:Einstein-Roosevelt-letter.png,https://upload.wikimedia.org/wikipedia/commons/b/bf/Einstein-Roosevelt-letter.png,image/png,1500,881
File:Einstein-cartoon1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Einstein-cartoon1.jpg,image/jpeg,624,682
File:Einstein-formal portrait-35 (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Einstein-formal_portrait-35_%28cropped%29.jpg,image/jpeg,510,638
File:Einstein Albert Elsa LOC 32096u.jpg,https://upload.wikimedia.org/wikipedia/commons/3/38/Einstein_Albert_Elsa_LOC_32096u.jpg,image/jpeg,1200,1038
File:Einstein Apr.1921 SS Rotterdam 32099.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b0/Einstein_Apr.1921_SS_Rotterdam_32099.jpg,image/jpeg,4072,2792
File:Einstein patentoffice full (cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Einstein_patentoffice_full_%28cropped%29.jpg,image/jpeg,1464,1643
File:Einstein thesis.png,https://upload.wikimedia.org/wikipedia/commons/f/fe/Einstein_thesis.png,image/png,1134,1860
File:He1523a.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/He1523a.jpg,image/jpeg,180,207
File:Hermann einstein.jpg,https://upload.wikimedia.org/wikipedia/commons/6/66/Hermann_einstein.jpg,image/jpeg,420,620
File:League of Nations Commission 067.tif,https://upload.wikimedia.org/wikipedia/commons/6/63/League_of_Nations_Commission_067.tif,image/tiff,5008,3840
File:MillikanLemaitreEinstein.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c6/MillikanLemaitreEinstein.jpg,image/jpeg,703,573
"File:NYT May 4, 1935.jpg",https://upload.wikimedia.org/wikipedia/commons/a/a0/NYT_May_4%2C_1935.jpg,image/jpeg,569,680
File:Niels Bohr Albert Einstein4 by Ehrenfest cr.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Niels_Bohr_Albert_Einstein4_by_Ehrenfest_cr.jpg,image/jpeg,1912,1548
File:Nuvola apps edu mathematics blue-p.svg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg,image/svg+xml,128,128
File:Nuvola apps kalzium.svg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Nuvola_apps_kalzium.svg,image/svg+xml,128,128
File:Pauline Koch edit.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Pauline_Koch_edit.jpg,image/jpeg,406,600
File:Photoelectric effect in a solid - diagram.svg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Photoelectric_effect_in_a_solid_-_diagram.svg,image/svg+xml,364,364
File:RocketSunIcon.svg,https://upload.wikimedia.org/wikipedia/commons/d/d6/RocketSunIcon.svg,image/svg+xml,128,128
File:Scholia logo.svg,https://upload.wikimedia.org/wikipedia/commons/3/32/Scholia_logo.svg,image/svg+xml,107,104
File:Speaker Icon.svg,https://upload.wikimedia.org/wikipedia/commons/2/21/Speaker_Icon.svg,image/svg+xml,500,500
File:Star of David.svg,https://upload.wikimedia.org/wikipedia/commons/4/49/Star_of_David.svg,image/svg+xml,600,693
File:Stylised atom with three Bohr model orbits and stylised nucleus.svg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Stylised_atom_with_three_Bohr_model_orbits_and_stylised_nucleus.svg,image/svg+xml,530,600
File:Wanda von Debschitz-Kunowski Albert Einstein beim Geigenspiel 1927.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5f/Wanda_von_Debschitz-Kunowski_Albert_Einstein_beim_Geigenspiel_1927.jpg,image/jpeg,2115,1841
File:Wikiquote-logo.svg,https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg,image/svg+xml,300,355
File:Wikisource-logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Wikisource-logo.svg,image/svg+xml,410,430
File:Albert Einstein sticks his tongue.jpg,https://upload.wikimedia.org/wikipedia/commons/4/46/Albert_Einstein_sticks_his_tongue.jpg,image/jpeg,2740,3500
File:Commons-logo.svg,https://upload.wikimedia.org/wikipedia/en/4/4a/Commons-logo.svg,image/svg+xml,1024,1376
File:Crab Nebula.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg,image/jpeg,3864,3864
File:Nobel Prize.png,https://upload.wikimedia.org/wikipedia/en/e/ed/Nobel_Prize.png,image/png,500,492
File:OOjs UI icon edit-ltr-progressive.svg,https://upload.wikimedia.org/wikipedia/en/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg,image/svg+xml,20,20
File:P vip.svg,https://upload.wikimedia.org/wikipedia/en/6/69/P_vip.svg,image/svg+xml,1911,1944
File:Semi-protection-shackle.svg,https://upload.wikimedia.org/wikipedia/en/1/1b/Semi-protection-shackle.svg,image/svg+xml,512,512
File:Solvay conference 1927.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Solvay_conference_1927.jpg,image/jpeg,3000,2171
File:Symbol category class.svg,https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg,image/svg+xml,180,185
File:Symbol support vote.svg,https://upload.wikimedia.org/wikipedia/en/9/94/Symbol_support_vote.svg,image/svg+xml,180,185
